xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSCondition,Problem,Problem,Problem,NL: Probleem,,,rootconcept,NL-CM:5.1.1,"Root concept of the Problem information model.
A problem describes a situation with regard to an individual’s health and/or welfare. This situation can be described by the patient  himselve (in the form of a complaint) or by their healthprofessional (in the form of a diagnosis, for example).",,EHDSCondition,EHDSCondition,Condition model,"C.15 - EHDS refined base model for A clinical condition, problem, diagnosis, or other event, situation, issue, or clinical concept that has risen to a level of concern.",,0..*,
EHDSCondition.anatomicLocation,Problem.ProblemAnatomicalLocation::AnatomicalLocation,ProblemAnatomicalLocation::AnatomicalLocation,Problem.ProblemAnatomicalLocation::AnatomicalLocation,NL: ProbleemAnatomischeLocatie::AnatomischeLocatie,,0..1,"data,reference",NL-CM:5.1.14,Anatomical location which is the focus of the problem.,SNOMED CT: 405813007 Procedure site - Direct,EHDSCondition.anatomicLocation,EHDSCondition.anatomicLocation,C.15.10 - Anatomic location,The anatomical location including laterality where this condition manifests itself.,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'SNOMED CT'}"
EHDSCondition.category,Problem.ProblemType,ProblemType,Problem.ProblemType,NL: ProbleemType,CD,0..1,data,NL-CM:5.1.8,The type of problem; see the concept description.,,EHDSCondition.category,EHDSCondition.category,C.15.6 - Category,Category or categories of the problem.,CodeableConcept,0..*,
EHDSCondition.clinicalStatus,Problem.ProblemStatus,ProblemStatus,Problem.ProblemStatus,NL: ProbleemStatus,CD,1,data,NL-CM:5.1.4,"The problem status describes the condition of the problem: 
1.  Active problems are problems of which the patient experiences symptoms or for which evidence exists. 
    <li>Problems with the status 'Inactive' refer to problems that don't affect the patient anymore or that of which there is no evidence of existence anymore. 
2.  Problems with the status 'Inactive' refer to problems that don't affect the patient anymore or that of which there is no evidence of existence anymore. ",,EHDSCondition.clinicalStatus,EHDSCondition.clinicalStatus,C.15.7 - Clinical status,"Status of the condition/problem (active, resolved, inactive, ...)",CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'HL7 Condtion-clinical'}"
EHDSCondition.code,Problem.ProblemName,ProblemName,Problem.ProblemName,NL: ProbleemNaam,CD,1,data,NL-CM:5.1.3,"The problem name defines the problem. Depending on the setting, different code systems can be used. The ProblemNameCodelist provides an overview of the possible code systems.",,EHDSCondition.code,EHDSCondition.code,C.15.3 - Code,"Code identifying the condition, problem or diagnosis",CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'ICD-10*, SNOMED CT, Orphacode if rare disease is diagnosed'}"
EHDSCondition.description,,,,,,,,,,,EHDSCondition.description,EHDSCondition.description,C.15.2 - Description,Condition specification in narrative form,Narrative,0..1,
EHDSCondition.diagnosisAssertionStatus,Problem.VerificationStatus,VerificationStatus,Problem.VerificationStatus,NL: VerificatieStatus,CD,0..1,data,NL-CM:5.1.10,Clinical status of the problem or the diagnosis.,SNOMED CT: 408729009 Finding context,EHDSCondition.diagnosisAssertionStatus,EHDSCondition.diagnosisAssertionStatus,C.15.15 - Diagnosis assertion status,Assertion about the certainty associated with a diagnosis. Diagnostic and/or clinical evidence of condition.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'HL7 Condition-ver-status'}"
EHDSCondition.endDate,Problem.ProblemEndDate,ProblemEndDate,Problem.ProblemEndDate,NL: ProbleemEindDatum,TS,0..1,data,NL-CM:5.1.9,"Date on which the disorder to which the problem applies, is considered not to be present anymore.This datum needs not to be the same as the date of the change in problem status. A ‘vague’ date, such as only the year or the month and the year, is permitted.",,EHDSCondition.endDate,EHDSCondition.endDate,C.15.5 - End date,The date or estimated date that the condition resolved or went into remission.,dateTime,0..1,
EHDSCondition.externalResourceRelatedWith,,,,,,,,,,,EHDSCondition.externalResourceRelatedWith,EHDSCondition.externalResourceRelatedWith,C.15.14 - External Resourcerelated with,"Identify the External Resource which may be specifically relatedto the problem, for example a link between a rare disease problemand the corresponding guidelines.",uri,0..*,
EHDSCondition.identifier,,,,,,,,,,,EHDSCondition.identifier,EHDSCondition.identifier,C.15.1 - Identifier,Condition identifier,Identifier,0..*,
