xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSDevice,MedicalDevice,MedicalDevice,MedicalDevice,NL: MedischHulpmiddel,,,rootconcept,NL-CM:10.1.1,Root concept of the MedicalDevice information model. This root concept contains all data elements of the MedicalDevice information model.,SNOMED CT: 49062001 Device,EHDSDevice,EHDSDevice,Device model,C.12 - EHDS refined base model for Device information,,0..*,
EHDSDevice.expiryDate,,,,,,,,,,,EHDSDevice.expiryDate,EHDSDevice.expiryDate,C.12.4 - Expiry date,The date and time beyond which this device is no longer valid or should not be used (if applicable).,dateTime,0..1,
EHDSDevice.identifier,MedicalDevice.Product.ProductID,ProductID,MedicalDevice.Product.ProductID,NL: ProductID,CD,0..1,data,NL-CM:10.1.4,"Unique identification of the product, such as the serial number. 
Frequently used coding systems are HIBC and GTIN.
If the law requires this to be registered on the basis of a UDI (Unique Device Identifier), the unique identification must consist of a UDI-DI (Device Identifier) and a UDI-PI (Production Identifier(s)). See http://www.gs1.org/healthcare/udi for more information. 

The UDI-DI must be recorded in reference to GS1 GTIN (01) encryptions, with which for example a firm is linked to the product type. The UDI-PI must consist of the following: application identifier (AI); expiration date (17) and serial number (21) and/or batch or lot number (10).",,EHDSDevice.identifier,EHDSDevice.identifier,C.12.1 - Identifier,An identifier of the device which is unique within in a defined scope. Multiple identifiers can be used.,Identifier,1..*,
EHDSDevice.lotNumber,,,,,,,,,,,EHDSDevice.lotNumber,EHDSDevice.lotNumber,C.12.5 - Lot number,Lot number of manufacture,string,0..1,
EHDSDevice.manufactureDate,,,,,,,,,,,EHDSDevice.manufactureDate,EHDSDevice.manufactureDate,C.12.3 - Manufacture date,The date and time when the device was manufactured,dateTime,0..1,
EHDSDevice.manufacturer,,,,,,,,,,,EHDSDevice.manufacturer,EHDSDevice.manufacturer,C.12.2 - Manufacturer,Name of device manufacturer,string,0..1,
EHDSDevice.modelNumber,MedicalDevice.Product.ProductType,ProductType,MedicalDevice.Product.ProductType,NL: ProductType,CD,0..1,data,NL-CM:10.1.3,The code of the type of product.,,EHDSDevice.modelNumber,EHDSDevice.modelNumber,C.12.8 - Model number,The manufacturer's model number for the device,string,0..1,
EHDSDevice.name,,,,,,,,,,,EHDSDevice.name,EHDSDevice.name,C.12.7 - Name,The name and name type of the device as known to the manufacturer and/or patient,string,0..*,
EHDSDevice.note,,,,,,,,,,,EHDSDevice.note,EHDSDevice.note,C.12.11 - Note,Device notes and comments,Narrative,0..*,
EHDSDevice.serialNumber,,,,,,,,,,,EHDSDevice.serialNumber,EHDSDevice.serialNumber,C.12.6 - Serial number,Serial number assigned by the manufacturer,string,0..1,
EHDSDevice.type,,,,,,,,,,,EHDSDevice.type,EHDSDevice.type,C.12.10 - Type,Device type,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'SNOMED CT, EMDN'}"
EHDSDevice.version,,,,,,,,,,,EHDSDevice.version,EHDSDevice.version,C.12.9 - Version,The actual design of the device or software version running on the device,string,0..1,
,MedicalDevice.AnatomicalLocation,AnatomicalLocation,MedicalDevice.AnatomicalLocation,NL: AnatomischeLocatie,,0..1,"data,reference",NL-CM:10.1.15,Patient’s anatomical location of the medical device used.,SNOMED CT: 363698007 Finding site,,,,,,,
,MedicalDevice.Comment,Comment,MedicalDevice.Comment,NL: Toelichting,ST,0..1,data,NL-CM:10.1.10,Comment about use or information on the medical device used.,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
,MedicalDevice.EindDatum,EindDatum,MedicalDevice.EindDatum,EndDate,TS,0..1,data,NL-CM:10.1.14,"The end date of the last use or explant of the medical device. A ‘vague’ date, such as only the year, is permitted.",,,,,,,,
,MedicalDevice.HealthProfessional,HealthProfessional,MedicalDevice.HealthProfessional,NL: Zorgverlener,,0..1,"context,reference",NL-CM:10.1.9,The healthcare provider involved in the indication for use of the medical device implant.,,,,,,,,
,MedicalDevice.Indication::Problem,Indication::Problem,MedicalDevice.Indication::Problem,NL: Indicatie::Probleem,,0..*,"context,reference",NL-CM:10.1.7,The medical reason for use of the medical device.,,,,,,,,
,MedicalDevice.Location::HealthcareProvider,Location::HealthcareProvider,MedicalDevice.Location::HealthcareProvider,NL: Locatie::Zorgaanbieder,,0..1,"context,reference",NL-CM:10.1.8,The healthcare provider at which use of the medical device was initiated or where the aid was implanted.,,,,,,,,
,MedicalDevice.Product,Product,MedicalDevice.Product,NL: Product,,1,container,NL-CM:10.1.2,The medical device (internally or externally).,SNOMED CT: 405815000 Procedure device,,,,,,,
,MedicalDevice.ProductDescription,ProductDescription,MedicalDevice.ProductDescription,NL: ProductOmschrijving,ST,0..1,data,NL-CM:10.1.13,Textual description of the product.,,,,,,,,
,MedicalDevice.StartDate,StartDate,MedicalDevice.StartDate,NL: BeginDatum,TS,0..1,data,NL-CM:10.1.11,"The start date of the first use or implant of the medical device. A ‘vague’ date, such as only the year, is permitted.",,,,,,,,
