xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSDeviceUse,MedicalDevice,MedicalDevice,MedicalDevice,NL: MedischHulpmiddel,,,rootconcept,NL-CM:10.1.1,Root concept of the MedicalDevice information model. This root concept contains all data elements of the MedicalDevice information model.,SNOMED CT: 49062001 Device,EHDSDeviceUse,EHDSDeviceUse,Device use model,C.25 - EHDS refined base model for Device Use,,0..*,
EHDSDeviceUse.bodySite,MedicalDevice.AnatomicalLocation,AnatomicalLocation,MedicalDevice.AnatomicalLocation,NL: AnatomischeLocatie,,0..1,"data,reference",NL-CM:10.1.15,Patient’s anatomical location of the medical device used.,SNOMED CT: 363698007 Finding site,EHDSDeviceUse.bodySite,EHDSDeviceUse.bodySite,C.25.7 - Body site,Anatomical location of the device. May include laterality.,CodeableConcept,0..1,
EHDSDeviceUse.device,,,,,,,,,,,EHDSDeviceUse.device,EHDSDeviceUse.device,C.25.5 - Device,The details of the device used.,Reference,1..1,
EHDSDeviceUse.endDate,MedicalDevice.EindDatum,EindDatum,MedicalDevice.EindDatum,EndDate,TS,0..1,data,NL-CM:10.1.14,"The end date of the last use or explant of the medical device. A ‘vague’ date, such as only the year, is permitted.",,EHDSDeviceUse.endDate,EHDSDeviceUse.endDate,C.25.4 - End date,Date when the device was explanted from the patient or the external device was no longer in use; likewise when the device is planned to be explanted.,dateTime,0..1,
EHDSDeviceUse.identifier,,,,,,,,,,,EHDSDeviceUse.identifier,EHDSDeviceUse.identifier,C.25.1 - Identifier,An identifier for this statement.,Identifier,0..*,
EHDSDeviceUse.implantDate,MedicalDevice.StartDate,StartDate,MedicalDevice.StartDate,NL: BeginDatum,TS,0..1,data,NL-CM:10.1.11,"The start date of the first use or implant of the medical device. A ‘vague’ date, such as only the year, is permitted.",,EHDSDeviceUse.implantDate,EHDSDeviceUse.implantDate,C.25.3 - Implant date,Date when procedure was performed.,dateTime,0..1,
EHDSDeviceUse.note,MedicalDevice.Comment,Comment,MedicalDevice.Comment,NL: Toelichting,ST,0..1,data,NL-CM:10.1.10,Comment about use or information on the medical device used.,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,EHDSDeviceUse.note,EHDSDeviceUse.note,C.25.8 - Note,"Details about the device statement that were not represented at all or sufficiently in one of the attributes provided in a class. These may include for example a comment, an instruction, or a note associated with the statement.",Narrative,0..*,
EHDSDeviceUse.recorded,,,,,,,,,,,EHDSDeviceUse.recorded,EHDSDeviceUse.recorded,C.25.9 - Recorded,Date and time at which the statement was made/recorded.,dateTime,0..1,
EHDSDeviceUse.source,,,,,,,,,,,EHDSDeviceUse.source,EHDSDeviceUse.source,C.25.10 - Source,Who reported the device was being used by the patient.,Reference,0..1,
EHDSDeviceUse.status,,,,,,,,,,,EHDSDeviceUse.status,EHDSDeviceUse.status,C.25.2 - Status,Current status of the Device Usage.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'HL7 device-statement-status'}"
EHDSDeviceUse.subject,,,,,,,,,,,EHDSDeviceUse.subject,EHDSDeviceUse.subject,C.25.6 - Subject,The patient using the device.,Reference,1..1,
,MedicalDevice.HealthProfessional,HealthProfessional,MedicalDevice.HealthProfessional,NL: Zorgverlener,,0..1,"context,reference",NL-CM:10.1.9,The healthcare provider involved in the indication for use of the medical device implant.,,,,,,,,
,MedicalDevice.Indication::Problem,Indication::Problem,MedicalDevice.Indication::Problem,NL: Indicatie::Probleem,,0..*,"context,reference",NL-CM:10.1.7,The medical reason for use of the medical device.,,,,,,,,
,MedicalDevice.Location::HealthcareProvider,Location::HealthcareProvider,MedicalDevice.Location::HealthcareProvider,NL: Locatie::Zorgaanbieder,,0..1,"context,reference",NL-CM:10.1.8,The healthcare provider at which use of the medical device was initiated or where the aid was implanted.,,,,,,,,
,MedicalDevice.Product,Product,MedicalDevice.Product,NL: Product,,1,container,NL-CM:10.1.2,The medical device (internally or externally).,SNOMED CT: 405815000 Procedure device,,,,,,,
,MedicalDevice.Product.ProductID,ProductID,MedicalDevice.Product.ProductID,NL: ProductID,CD,0..1,data,NL-CM:10.1.4,"Unique identification of the product, such as the serial number. 
Frequently used coding systems are HIBC and GTIN.
If the law requires this to be registered on the basis of a UDI (Unique Device Identifier), the unique identification must consist of a UDI-DI (Device Identifier) and a UDI-PI (Production Identifier(s)). See http://www.gs1.org/healthcare/udi for more information. 

The UDI-DI must be recorded in reference to GS1 GTIN (01) encryptions, with which for example a firm is linked to the product type. The UDI-PI must consist of the following: application identifier (AI); expiration date (17) and serial number (21) and/or batch or lot number (10).",,,,,,,,
,MedicalDevice.Product.ProductType,ProductType,MedicalDevice.Product.ProductType,NL: ProductType,CD,0..1,data,NL-CM:10.1.3,The code of the type of product.,,,,,,,,
,MedicalDevice.ProductDescription,ProductDescription,MedicalDevice.ProductDescription,NL: ProductOmschrijving,ST,0..1,data,NL-CM:10.1.13,Textual description of the product.,,,,,,,,
