xtehr,zib,name_zib,path_zib,type_zib,card._zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSDevice,MedicalDevice.Product,Product,MedicalDevice.Product,,1,NL-CM:10.1.2,The medical device (internally or externally).,405815000 Procedure device,EHDSDevice,EHDSDevice,Device model,C.12 - EHDS refined base model for Device information,,0..*,
EHDSDevice.expiryDate,,,,,,,,,EHDSDevice.expiryDate,EHDSDevice.expiryDate,C.12.4 - Expiry date,The date and time beyond which this device is no longer valid or should not be used (if applicable).,dateTime,0..1,
EHDSDevice.identifier,MedicalDevice.Product.ProductID,ProductID,MedicalDevice.Product.ProductID,ST,0..1,NL-CM:10.1.16,"Globally unique identification of the product, for example the serial number or a UDI (unique device identifier). For some products, the law requires the use of a UDI. Commonly used coding systems are HIBC and GS1/GTIN.
A UDI often contains more information than just an ID, but also, for example, an expiration date. If a UDI is used, the entire code can be included as text in ProductID, so that no important information is lost.",,EHDSDevice.identifier,EHDSDevice.identifier,C.12.1 - Identifier,An identifier of the device which is unique within in a defined scope. Multiple identifiers can be used.,Identifier,1..*,
EHDSDevice.lotNumber,,,,,,,,,EHDSDevice.lotNumber,EHDSDevice.lotNumber,C.12.5 - Lot number,Lot number of manufacture,string,0..1,
EHDSDevice.manufactureDate,,,,,,,,,EHDSDevice.manufactureDate,EHDSDevice.manufactureDate,C.12.3 - Manufacture date,The date and time when the device was manufactured,dateTime,0..1,
EHDSDevice.manufacturer,,,,,,,,,EHDSDevice.manufacturer,EHDSDevice.manufacturer,C.12.2 - Manufacturer,Name of device manufacturer,string,0..1,
EHDSDevice.modelNumber,MedicalDevice.Product.ProductType,ProductType,MedicalDevice.Product.ProductType,CD,0..1,NL-CM:10.1.3,The code of the type of product.,,EHDSDevice.modelNumber,EHDSDevice.modelNumber,C.12.8 - Model number,The manufacturer's model number for the device,string,0..1,
EHDSDevice.name,,,,,,,,,EHDSDevice.name,EHDSDevice.name,C.12.7 - Name,The name and name type of the device as known to the manufacturer and/or patient,string,0..*,
EHDSDevice.note,,,,,,,,,EHDSDevice.note,EHDSDevice.note,C.12.11 - Note,Device notes and comments,Narrative,0..*,
EHDSDevice.serialNumber,,,,,,,,,EHDSDevice.serialNumber,EHDSDevice.serialNumber,C.12.6 - Serial number,Serial number assigned by the manufacturer,string,0..1,
EHDSDevice.type,,,,,,,,,EHDSDevice.type,EHDSDevice.type,C.12.10 - Type,Device type,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'SNOMED CT, EMDN'}"
EHDSDevice.version,,,,,,,,,EHDSDevice.version,EHDSDevice.version,C.12.9 - Version,The actual design of the device or software version running on the device,string,0..1,
EHDSDeviceUse,MedicalDevice,MedicalDevice,MedicalDevice,,,NL-CM:10.1.1,Root concept of the MedicalDevice information model. This root concept contains all data elements of the MedicalDevice information model.,49062001 Device,EHDSDeviceUse,EHDSDeviceUse,Device use model,C.25 - EHDS refined base model for Device Use,,0..*,
EHDSDeviceUse.bodySite,MedicalDevice.AnatomicalLocation,AnatomicalLocation,MedicalDevice.AnatomicalLocation,,0..1,NL-CM:10.1.15,Patient’s anatomical location of the medical device used.,363698007 Finding site,EHDSDeviceUse.bodySite,EHDSDeviceUse.bodySite,C.25.7 - Body site,Anatomical location of the device. May include laterality.,CodeableConcept,0..1,
EHDSDeviceUse.device,,,,,,,,,EHDSDeviceUse.device,EHDSDeviceUse.device,C.25.5 - Device,The details of the device used.,Reference,1..1,
EHDSDeviceUse.endDate,MedicalDevice.EndDate,EndDate,MedicalDevice.EndDate,TS,0..1,NL-CM:10.1.14,"The end date of the last use or explant of the medical device. A ‘vague’ date, such as only the year, is permitted.",,EHDSDeviceUse.endDate,EHDSDeviceUse.endDate,C.25.4 - End date,Date when the device was explanted from the patient or the external device was no longer in use; likewise when the device is planned to be explanted.,dateTime,0..1,
EHDSDeviceUse.identifier,,,,,,,,,EHDSDeviceUse.identifier,EHDSDeviceUse.identifier,C.25.1 - Identifier,An identifier for this statement.,Identifier,0..*,
EHDSDeviceUse.implantDate,MedicalDevice.StartDate,StartDate,MedicalDevice.StartDate,TS,0..1,NL-CM:10.1.11,"The start date of the first use or implant of the medical device. A ‘vague’ date, such as only the year, is permitted.",,EHDSDeviceUse.implantDate,EHDSDeviceUse.implantDate,C.25.3 - Implant date,Date when procedure was performed.,dateTime,0..1,
